task-id,task-name,train,test,dev
0,boil,14,9,7
1,change-the-state-of-matter-of,14,9,7
2,chemistry-mix,16,8,8
3,chemistry-mix-paint-secondary-color,18,9,9
4,chemistry-mix-paint-tertiary-color,18,9,9
5,find-animal,120,10,10
6,find-living-thing,120,10,10
7,find-non-living-thing,120,10,10
8,find-plant,120,10,10
9,freeze,14,9,7
10,grow-fruit,62,10,10
11,grow-plant,62,10,10
12,identify-life-stages-1,6,5,3
13,identify-life-stages-2,4,4,2
14,inclined-plane-determine-angle,0,0,0
15,inclined-plane-friction-named-surfaces,0,0,0
16,inclined-plane-friction-unnamed-surfaces,0,0,0
17,lifespan-longest-lived,62,10,10
18,lifespan-longest-lived-then-shortest-lived,62,10,10
19,lifespan-shortest-lived,62,10,10
20,measure-melting-point-known-substance,120,10,10
21,measure-melting-point-unknown-substance,0,0,0
22,melt,14,9,7
23,mendelian-genetics-known-plant,0,0,0
24,mendelian-genetics-unknown-plant,0,0,0
25,power-component,8,5,3
26,power-component-renewable-vs-nonrenewable-energy,8,5,3
27,test-conductivity,120,10,10
28,test-conductivity-of-unknown-substances,120,10,10
29,use-thermometer,120,10,10
